step,epoch,loss,inv,var,cov,lr,ema_tau,std_z,std_z_t,batch_sim,sec_per_step
1,0,1.0690360069274902,1.008771300315857,0.0,0.060264743864536285,4e-06,0.9900000002467401,0.051683247089385986,0.05123206973075867,-0.028931817039847374,1.0797
25,0,0.8498770594596863,0.7871778011322021,0.0,0.06269928067922592,5.2000000000000004e-05,0.990000154211776,0.051539577543735504,0.0510660819709301,-0.025281809270381927,0.074
50,0,0.6979032158851624,0.6383402943611145,0.0,0.05956292897462845,0.00010200000000000001,0.9900006168375917,0.051627784967422485,0.05131484195590019,-0.026350975036621094,0.0546
75,0,0.6137255430221558,0.5552910566329956,0.0,0.05843449756503105,0.000152,0.99000138784891,0.05153312906622887,0.05121487379074097,-0.02538185380399227,0.0475
100,0,0.5829967260360718,0.5214605331420898,0.0,0.06153622269630432,0.000202,0.9900024671981713,0.0514158234000206,0.05106550082564354,-0.021668266505002975,0.044
125,1,0.6120270490646362,0.551162600517273,0.0,0.060864437371492386,0.000252,0.9900038548187964,0.051424540579319,0.050903674215078354,-0.021548600867390633,0.0419
150,1,0.5721023678779602,0.51231849193573,2.1300589651218615e-05,0.05976259708404541,0.00030199999999999997,0.9900055506251901,0.0514042004942894,0.05103068798780441,-0.020422935485839844,0.0407
175,1,0.5454405546188354,0.49011558294296265,8.252760380855761e-06,0.0553167462348938,0.000352,0.9900075545127474,0.051527462899684906,0.051117684692144394,-0.024208080023527145,0.0395
200,1,0.46615421772003174,0.4080369770526886,1.0813276276167016e-05,0.05810641124844551,0.000402,0.9900098663578586,0.051349397748708725,0.05130947753787041,-0.019579779356718063,0.0387
225,2,0.5545986294746399,0.5024341344833374,1.9715167582035065e-05,0.052144791930913925,0.00045200000000000004,0.9900124860179187,0.051609259098768234,0.05152574181556702,-0.0275337565690279,0.0381
250,2,0.4917830526828766,0.4302583932876587,9.172285899694543e-06,0.06151547655463219,0.000502,0.9900154133313344,0.05123471841216087,0.051255013793706894,-0.017747828736901283,0.0378
275,2,0.3825835585594177,0.3299188017845154,6.33516674497514e-06,0.052658408880233765,0.0005520000000000001,0.9900186481175353,0.05132722854614258,0.051270581781864166,-0.01889849081635475,0.0373
300,2,0.38474515080451965,0.3373684883117676,1.1095777153968811e-05,0.047365568578243256,0.000602,0.9900221901769846,0.051472604274749756,0.051476843655109406,-0.02350405976176262,0.037
325,3,0.3605615198612213,0.3132062256336212,5.017345301894238e-06,0.04735029861330986,0.000652,0.9900260392911914,0.05152745172381401,0.051560550928115845,-0.02483191527426243,0.0368
350,3,0.38458162546157837,0.3346251845359802,8.956219062383752e-06,0.04994746297597885,0.000702,0.9900301952227241,0.051457684487104416,0.05148911476135254,-0.022679055109620094,0.0367
375,3,0.29980307817459106,0.2524624168872833,7.875109076849185e-06,0.04733278974890709,0.000752,0.9900346577152254,0.051464732736349106,0.051412612199783325,-0.023428115993738174,0.0366
400,3,0.32954904437065125,0.2853966951370239,1.070632970368024e-05,0.04414163902401924,0.0008020000000000001,0.9900394264934276,0.051462702453136444,0.051468875259160995,-0.02240072377026081,0.0368
425,4,0.3258534073829651,0.2768959105014801,6.649953775195172e-06,0.048950839787721634,0.000852,0.9900445012631701,0.051594242453575134,0.051518481224775314,-0.025695815682411194,0.0369
450,4,0.3250153362751007,0.2759847044944763,1.3052951544523239e-05,0.04901757091283798,0.000902,0.9900498817114172,0.05153931677341461,0.05149120092391968,-0.024762656539678574,0.0369
475,4,0.33445653319358826,0.28720468282699585,9.822814718063455e-06,0.04724201560020447,0.000952,0.9900555675062774,0.05160708352923393,0.05142420157790184,-0.026849914342164993,0.0367
500,4,0.3518922030925751,0.30986467003822327,8.364829227502923e-06,0.04201916605234146,0.001,0.9900615582970242,0.05148863419890404,0.05126367136836052,-0.021576030179858208,0.0366
525,5,0.2985308766365051,0.2577994167804718,5.677342414855957e-06,0.04072575643658638,0.0009999829128320872,0.9900678537141175,0.05141003057360649,0.051323503255844116,-0.01959654502570629,0.0367
550,5,0.27282240986824036,0.23093292117118835,8.217680260713678e-06,0.04188128188252449,0.0009999316524962345,0.9900744533692262,0.05151257663965225,0.051539093255996704,-0.02362777292728424,0.0368
575,5,0.22220900654792786,0.18001675605773926,6.220458999450784e-06,0.042186032980680466,0.0009998462224960175,0.9900813568552523,0.05150463432073593,0.051455359905958176,-0.02205142378807068,0.0367
600,5,0.2576053738594055,0.21829861402511597,7.025742434052518e-06,0.03929973393678665,0.000999726628670463,0.9900885637463566,0.051546208560466766,0.051381319761276245,-0.02367103099822998,0.0367
